Metabolites_labels,Metabolites,S_1_soil_alone,S_2_soil_alone,S_3_soil_alone,S_4_soil_alone,S_5_soil_nanoplatic,S_6_soil_nanoplatic,S_7_soil_nanoplatic,S_8_soil_nanoplatic,S_9_soil_biochar,S_10_soil_biochar,S_11_soil_biochar,S_12_soil_biochar,S_13_soil_biochar_nanoplastic,S_14_soil_biochar_nanoplastic,S_15_soil_biochar_nanoplastic,S_16_soil_biochar_nanoplastic,S_17_soil_Fe-biochar,S_18_soil_Fe-biochar,S_19_soil_Fe-biochar,S_20_soil_Fe-biochar,S_21_soil_Fe-biochar_nanoplastic,S_22_soil_Fe-biochar_nanoplastic,S_23_soil_Fe-biochar_nanoplastic,S_24_soil_Fe-biochar_nanoplastic
3,Thymine,4002.4491525637,4008.34370668594,4317.51371125973,4118.90105990996,4235.23353934711,3929.7506322551,4093.89671362706,3787.32941944177,3799.63452696806,3703.07090941742,3864.27909886767,3792.66520893144,3772.74340611248,4278.76058293037,3732.65035788913,3778.9452800902,3766.80228242533,3950.60616844516,3794.07218347231,3896.32928708133,3719.79113527875,4014.64603880187,3875.1577073285,4161.24257164724
3,uracil,3404.52104485454,4260.80809300069,5446.77592250042,6124.01164912014,3664.5902808971,4548.22663276031,3975.35602195187,4344.7034921968,6132.15894678848,4424.50937175112,4122.52194113574,3703.9321424007,3855.47717927275,3711.02621368151,4031.95982942553,3967.01960904062,5600.86596755412,3057.36333843257,4812.71600859286,6074.2649688598,4386.26958663792,3538.76548530781,4619.40848048934,8741.3157259623
3,Uridine,54619.0943139237,63842.0839517018,75058.8695848486,93369.3374036756,23578.1617057932,58547.0332595752,54825.5474081215,58616.8116824638,86469.1620354025,55337.3582048946,64734.414943474,44477.885026564,56795.9787141805,53087.6429442948,64458.5569007167,50263.7636017995,85611.3968694597,47287.5314365891,79715.6545054492,89404.1338060786,72834.4370428163,64974.6190258478,76975.7399972808,116216.176620204
3,Xanthine,282.771686260035,219.618798261176,252.622299610294,516.572125264369,122.928050018394,229.972508321864,283.921939233849,187.913885902792,356.490673408833,131.660511375988,179.067323271952,122.713069561156,110.597914866255,172.940685665521,233.177484408754,102.980971631632,273.515084302459,108.500451158884,304.608656976595,369.540439892313,178.14039092214,182.765149839291,278.006526151759,690.794300435916
4,ascorbic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,benzoic acid,152494.564054121,109308.489793157,181354.084081629,123588.802042887,133019.275048635,124039.098376335,189745.286556325,165764.03064925,249476.434610605,135338.222640331,124156.921886471,142617.144256147,170148.140296975,134593.201775454,256416.517934943,247494.992060723,151965.156320604,122679.320833448,197095.783523551,158799.2677407,156249.061617925,141837.198870658,157904.605760451,247586.925261667
4,Caffeic acid,9309.16575955765,12228.1848570553,11599.7786885057,1749.76755782566,2261.54913906247,19260.7978756343,12980.0572890873,18301.198696344,7927.71886718963,6443.8677328321,12443.3359812756,284.046572735309,20782.2946388593,70446.2341038611,26465.8300510786,7940.64274973944,32851.79027246,24169.3580855024,11051.2323605093,4767.55618388229,17801.218473416,15216.4567758592,7439.09586481798,33766.1650578283
4,Citric acid,7481892.04776355,8510316.53335683,10263114.3308489,2927835.30904005,2038362.83796362,8896972.36856441,11324853.4641458,15102805.4265916,8361845.3718229,5012221.6111276,4424610.52186291,2822132.3690636,9127489.11235152,9568143.3730925,6372545.8285456,8221096.45862774,4111957.75002782,7920329.2434302,5577407.63101949,6550939.50896617,4345432.37694507,7056618.95275611,2482776.10432285,5011380.14412525
4,ferulic acid,4698.4816344312,11171.1968244262,6058.12409032612,299.580688698703,392.267404031998,8421.44678657048,12527.0531288932,28912.3121061194,2772.18537742109,1938.86414717599,6144.75674497264,0,4728.5310013947,10628.6678757101,2834.66740776378,1443.28948551937,4342.97121439352,11956.2854505391,3922.48698671625,520.006086440242,692.245548411406,3785.19879342388,285.24517639764,0
4,fumaric acid,0,0,0,198237.447968902,86398.0398473792,0,0,0,0,0,0,178993.335885664,0,0,0,0,0,0,0,0,0,0,0,0
4,Gallic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Glutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,glycolic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,lactic acid,92061.2392341859,88177.8484209544,57515.6772394825,27227.3139347659,6729.97425082258,22731.9397573981,13803.6155722979,29119.1137426113,60758.8465347869,13531.0706835414,20819.1755908694,7893.56928392421,33901.2443866596,68584.0243552855,51925.915432718,28509.6589064091,30722.5965111068,42028.4993471203,21882.399968814,19478.3211200711,29482.5815461953,41288.4420504255,20915.090182557,38601.8441010101
4,malic acid,10246777.5438245,13138639.7024009,13615964.8087839,5001322.45734334,3585151.37225718,11800786.9177209,15045346.8473696,20022730.4403876,16204687.6100423,7672910.2444763,7429167.73988636,5092544.18787921,12753359.1939592,12027227.5505928,9868424.27985464,12956963.9287233,7339835.59326934,10977565.3802994,10676057.9835238,13668741.0781639,7118915.26532389,10826310.4170682,4672579.96730302,9192728.09069888
4,p-coumaric acid,380.307603684071,177.079794929524,288.071107092135,26.673912914789,62.9226255043933,205.32637621813,301.651068582564,301.966203974409,143.582334656642,150.638142689283,183.057436964722,23.6755293087223,185.300769306883,441.923416961232,348.841023530753,111.47961238577,434.852314035213,277.881625839267,111.414833765709,155.711979568775,183.786640467183,170.388158912007,86.5229981828869,351.542929695808
4,Pyruvic acid,389624.77504534,523454.579627881,597923.707490673,215674.701323067,175041.256598665,483688.265083055,732328.836335852,1069786.45388043,689175.238281172,370931.70300025,315500.702150385,322271.324306341,720780.873255608,525971.613779619,559930.137310779,650598.564381369,420538.292392033,604300.960027731,580555.166325154,140307.160509122,115590.122864066,132982.990360276,77473.1018750328,142799.143383168
4,Salicyllic acid,2370.57038574838,1391.57968167884,1758.52790645932,1118.48466309781,379.968500748549,752.504724491333,2568.19390915282,2393.95379364653,915.095107639683,885.918840218306,631.010265824578,328.827666114842,959.256368924949,1383.46294303738,549.273029962041,558.74802647041,3083.11253417479,1241.91862529114,1047.62825110445,1120.95486042334,361.427717461607,550.982871996337,190.584233716976,282.216220516436
4,succinic acid,1858633.21753559,2567594.99728436,2473919.65051934,636736.146166142,614672.456641113,2608041.90341946,3305232.38053872,3991800.57095871,2479128.93345443,1237421.84505304,1198560.50342635,709329.21152234,2262381.73783039,2178513.03605682,1337361.45776471,2295856.77777935,1150892.68621014,1609317.45253823,1645357.90179461,1866537.39109535,1111112.49702806,1498845.07219784,654106.821611091,999923.401134272
5,Cobalamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Folic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,beta-carotene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Riboflavin,695087.545266606,1277639.19432829,1069856.52943097,855761.354027412,224878.028786237,1478834.31579415,866315.840288229,1573341.16154172,1212107.12960421,953158.039171995,967455.537244406,671611.164743471,1077104.44419365,1145008.82582494,953808.924112234,931915.062859541,910253.573009523,1054021.14829952,795792.697985605,943593.839733645,910767.401263405,1137662.17475957,939069.305096157,1132055.1836747
5,Thiamine,41457.0953252119,27215.1837853927,42866.0478264078,107934.499482285,349400.92484517,31962.1041101624,15230.1435442637,24412.5892225962,13674.5150086547,45138.6466600423,75022.698384321,136937.396382036,34655.8652778003,50906.4232510266,54497.3492715374,34061.8867931953,108411.727996316,34229.2224406423,52605.3930395126,9902.25899465944,68494.9894975686,50928.1185780096,83504.0114204948,29468.9813230474
